Entity,Year,Schizophrenia,Depressive,Anxiety,Bipolar,Eating
Africa (IHME GBD),1990,0.21952741,4.6028056,3.696839,0.6070271,0.11102739
Africa (IHME GBD),1991,0.21955903,4.5980406,3.6954157,0.60709006,0.11042479
Africa (IHME GBD),1992,0.21957901,4.593013,3.6938193,0.6071273,0.10984464
Africa (IHME GBD),1993,0.219583,4.588568,3.6920974,0.60713357,0.109304704
Africa (IHME GBD),1994,0.21955588,4.586263,3.6901152,0.6070816,0.1088128
Africa (IHME GBD),1995,0.21951258,4.585838,3.6879437,0.60698706,0.10841267
Africa (IHME GBD),1996,0.21942624,4.5931215,3.680501,0.6068984,0.10805303
Africa (IHME GBD),1997,0.2192923,4.6091747,3.6656146,0.6068197,0.107739754
Africa (IHME GBD),1998,0.21915123,4.627353,3.6483276,0.60674024,0.107471175
Africa (IHME GBD),1999,0.21903954,4.6422777,3.6336966,0.60665876,0.10730835
Africa (IHME GBD),2000,0.21899492,4.646626,3.6265733,0.606569,0.10727918
Africa (IHME GBD),2001,0.21907906,4.6435275,3.6236641,0.6064616,0.10753511
Africa (IHME GBD),2002,0.2192826,4.6381335,3.6189559,0.6063363,0.10801274
Africa (IHME GBD),2003,0.21953411,4.6321535,3.6138086,0.6062086,0.10872014
Africa (IHME GBD),2004,0.21976027,4.6259403,3.6094596,0.60608083,0.10949714
Africa (IHME GBD),2005,0.21988335,4.619911,3.6068745,0.6059376,0.11021915
Africa (IHME GBD),2006,0.21990532,4.6073174,3.6143,0.6057795,0.110955685
Africa (IHME GBD),2007,0.2198952,4.584052,3.6339025,0.605599,0.111980945
Africa (IHME GBD),2008,0.21987133,4.5554805,3.6578856,0.60538524,0.112988845
Africa (IHME GBD),2009,0.21985307,4.527493,3.6783829,0.60512346,0.113934904
Africa (IHME GBD),2010,0.21986416,4.5054674,3.687717,0.60482544,0.11491646
Africa (IHME GBD),2011,0.21995312,4.48809,3.6897094,0.60452724,0.11584655
Africa (IHME GBD),2012,0.2201184,4.471372,3.692434,0.60421467,0.11697809
Africa (IHME GBD),2013,0.22031045,4.456697,3.6952968,0.6038788,0.11814265
Africa (IHME GBD),2014,0.22048059,4.446682,3.6979795,0.60352606,0.119203106
Africa (IHME GBD),2015,0.22057626,4.4437795,3.6999135,0.603163,0.120191425
Africa (IHME GBD),2016,0.2206998,4.4485073,3.7031841,0.60279864,0.12130669
Africa (IHME GBD),2017,0.2208232,4.453067,3.7050672,0.60241383,0.122222565
Africa (IHME GBD),2018,0.22095965,4.4567995,3.7033446,0.6020074,0.12249018
Africa (IHME GBD),2019,0.22120874,4.462034,3.699605,0.60159534,0.122566424
America (IHME GBD),1990,0.34370333,3.4917195,4.9763203,0.8167748,0.28807178
America (IHME GBD),1991,0.34460723,3.5304847,4.984095,0.817926,0.29249215
America (IHME GBD),1992,0.3453168,3.5685787,4.994692,0.81910586,0.29633036
America (IHME GBD),1993,0.34575188,3.6046438,5.0062118,0.82035685,0.2990752
America (IHME GBD),1994,0.34589458,3.638216,5.0173464,0.8216083,0.30086482
America (IHME GBD),1995,0.34568718,3.6673481,5.0263767,0.82282245,0.30112115
America (IHME GBD),1996,0.34522426,3.6990607,5.1097474,0.8239876,0.3004731
America (IHME GBD),1997,0.3446803,3.7355416,5.2999887,0.8250573,0.2997094
America (IHME GBD),1998,0.34410137,3.771975,5.5307927,0.82609075,0.2987678
America (IHME GBD),1999,0.34357014,3.8022585,5.7372756,0.82706773,0.29805905
America (IHME GBD),2000,0.34313887,3.8188481,5.8548536,0.8279884,0.29752952
America (IHME GBD),2001,0.34315038,3.8248062,5.895511,0.82939774,0.2975206
America (IHME GBD),2002,0.3436787,3.8267107,5.9158506,0.8314822,0.2979387
America (IHME GBD),2003,0.34437546,3.8258924,5.9196467,0.83376044,0.2984993
America (IHME GBD),2004,0.34491664,3.824198,5.910077,0.83572656,0.29915094
America (IHME GBD),2005,0.34497383,3.8221748,5.889337,0.8369312,0.29961577
America (IHME GBD),2006,0.34472483,3.8076668,5.861147,0.83755165,0.30036706
America (IHME GBD),2007,0.34449372,3.7744627,5.8287725,0.83814263,0.301486
America (IHME GBD),2008,0.34422293,3.7336447,5.7947907,0.8387199,0.30296376
America (IHME GBD),2009,0.34385777,3.6970072,5.761675,0.8392697,0.30431175
America (IHME GBD),2010,0.3433226,3.6756163,5.7317543,0.8398615,0.3052843
America (IHME GBD),2011,0.34238267,3.6645572,5.66588,0.8404364,0.30476552
America (IHME GBD),2012,0.3409582,3.6511335,5.5481596,0.84103,0.3026586
America (IHME GBD),2013,0.33928442,3.637235,5.4164677,0.8416437,0.29997933
America (IHME GBD),2014,0.33760408,3.6245341,5.3086004,0.8422253,0.29782286
America (IHME GBD),2015,0.33611825,3.614284,5.2625036,0.8428395,0.29722053
America (IHME GBD),2016,0.3339556,3.6075754,5.2810454,0.84338146,0.29901645
America (IHME GBD),2017,0.3321949,3.6044657,5.3052835,0.84391975,0.3008445
America (IHME GBD),2018,0.3317166,3.6046815,5.3671217,0.84448844,0.30115077
America (IHME GBD),2019,0.33155558,3.6074004,5.4921436,0.8450584,0.30095425
Asia (IHME GBD),1990,0.29041103,3.267557,3.3546433,0.32344005,0.09866103
