Year,Belarus,Czechia,Germany,Lithuania,Poland,Russia,Slovakia,Ukraine
1990,3.531769,3.1935306,5.887693,4.2705626,3.11552,3.1702216,3.4548378,3.109182
1991,3.531525,3.198445,5.955482,4.271901,3.1177778,3.1688678,3.4567719,3.1115975
1992,3.531061,3.2025268,6.014791,4.2739005,3.1198978,3.167355,3.4586635,3.1115282
1993,3.530581,3.205569,6.0631056,4.2763233,3.1215782,3.1666431,3.4603515,3.10949
1994,3.5299604,3.2073321,6.096981,4.278836,3.122654,3.1663897,3.461601,3.1059237
1995,3.529267,3.2076206,6.1131544,4.280793,3.123217,3.166244,3.4624782,3.1015291
1996,3.528272,3.2066605,6.114999,4.2947025,3.123788,3.1651385,3.4639943,3.0723562
1997,3.5268185,3.204936,6.109635,4.32589,3.1245387,3.1628475,3.4664793,3.0091927
1998,3.5253568,3.2027829,6.0995073,4.362749,3.125226,3.1605256,3.4692652,2.934903
1999,3.5240104,3.200609,6.0871043,4.3936086,3.125532,3.15852,3.4715078,2.872401
2000,3.5228252,3.1987855,6.0752563,4.4068255,3.1251338,3.1574104,3.4723582,2.8447585
2001,3.521141,3.1971798,6.06614,4.407003,3.1236281,3.1562889,3.471976,2.8427632
2002,3.51859,3.1954782,6.0599575,4.4067507,3.1212137,3.154534,3.4711547,2.8419838
2003,3.5159032,3.1938188,6.0558968,4.4060736,3.1185129,3.1530912,3.4701512,2.8424397
2004,3.513435,3.1922584,6.052996,4.4051695,3.1161613,3.151803,3.4689987,2.8439982
2005,3.5119147,3.1907578,6.05086,4.404439,3.1148078,3.1509013,3.4679728,2.846743
2006,3.5106103,3.189479,6.06325,4.4034615,3.1149752,3.1494207,3.4669056,2.8758194
2007,3.508245,3.1884825,6.0962496,4.402308,3.1162524,3.146745,3.4654307,2.9409006
2008,3.5057619,3.187546,6.13726,4.400909,3.1178298,3.144317,3.463822,3.0185354
2009,3.503633,3.1864562,6.1738863,4.399466,3.1188688,3.1423109,3.4621809,3.084608
2010,3.5022798,3.184955,6.194222,4.3986974,3.1186213,3.1410604,3.4605832,3.1155183
2011,3.5010548,3.1822746,6.2050614,4.3893685,3.1162906,3.1408744,3.457906,3.119328
2012,3.4986422,3.1782794,6.217795,4.3674273,3.1121585,3.1413288,3.4534981,3.1206193
2013,3.4958112,3.1735919,6.2289786,4.34052,3.1070929,3.142499,3.4483354,3.1204603
2014,3.4930503,3.1688817,6.2353673,4.3166423,3.1019056,3.1434622,3.4433794,3.1196063
2015,3.490736,3.1647387,6.2348394,4.3036847,3.0975196,3.143293,3.4395785,3.1196241
2016,3.4861212,3.1530337,6.2234306,4.283735,3.0851579,3.1418722,3.4296978,3.121358
2017,3.4813712,3.1426318,6.2104564,4.2624903,3.0739503,3.1396313,3.4204469,3.1236935
2018,3.4809403,3.1446435,6.2064977,4.255839,3.0749567,3.1370676,3.4206145,3.1275187
2019,3.4831994,3.1539073,6.208145,4.2541876,3.082497,3.1336958,3.4256656,3.133128
