Year,Belarus,Czechia,Germany,Lithuania,Poland,Russia,Slovakia,Ukraine
1990,3.9234912,3.281648,3.1874387,4.2587194,2.279973,3.241062,2.9265432,4.2648845
1991,3.9342315,3.2821097,3.1779912,4.262211,2.282644,3.258231,2.926137,4.328565
1992,3.9475007,3.2800333,3.1708431,4.2694035,2.2851567,3.27202,2.9223967,4.387335
1993,3.9631433,3.273265,3.1647382,4.2770348,2.2881339,3.2835665,2.919811,4.437566
1994,3.9778185,3.2643871,3.1584985,4.2860475,2.2906184,3.2927015,2.9156985,4.4742236
1995,3.9915447,3.254066,3.154968,4.2950745,2.2928047,3.2996657,2.9127612,4.4943957
1996,4.009399,3.2359056,3.1501465,4.3099155,2.295819,3.3023443,2.90875,4.505719
1997,4.034576,3.2054334,3.1498163,4.3334045,2.3001008,3.299733,2.9024482,4.5185413
1998,4.0586615,3.1696072,3.149625,4.357567,2.3044722,3.2938154,2.8958678,4.526868
1999,4.0794196,3.134626,3.1518269,4.3759794,2.3070683,3.2857587,2.8871415,4.531305
2000,4.0918536,3.1078284,3.1580033,4.382294,2.3073173,3.277789,2.877292,4.526951
2001,4.0966105,3.0879393,3.1938353,4.3707905,2.2902215,3.265066,2.8680182,4.506401
2002,4.1028614,3.0685062,3.2658777,4.34188,2.2518246,3.2450867,2.859049,4.467858
2003,4.103709,3.0513275,3.3483357,4.3060923,2.205623,3.2212381,2.8473759,4.4177523
2004,4.104315,3.0343375,3.41829,4.270716,2.1651654,3.1969006,2.8349662,4.362677
2005,4.0988197,3.0188644,3.4491034,4.244599,2.1439219,3.1754677,2.822717,4.315122
2006,4.078114,3.0022566,3.4561625,4.2192597,2.1378796,3.1515152,2.8081121,4.265765
2007,4.041458,2.9856079,3.4692407,4.1912293,2.1332617,3.1209452,2.7911031,4.207717
2008,3.99703,2.9686456,3.488274,4.163176,2.1296732,3.0901327,2.773399,4.152111
2009,3.9585407,2.9530962,3.5011506,4.136793,2.1269224,3.0647538,2.7572942,4.101679
2010,3.9347,2.9410903,3.5041263,4.1161327,2.1246493,3.0503109,2.742725,4.0636315
2011,3.922725,2.928001,3.5028772,4.097671,2.1224542,3.0531652,2.7322502,4.0276003
2012,3.9135807,2.9136982,3.5033655,4.073483,2.118935,3.0691469,2.7200491,3.9822237
2013,3.904299,2.8993616,3.4999578,4.04753,2.1157718,3.0906923,2.7100556,3.9361966
2014,3.8970487,2.8871071,3.5008144,4.026949,2.11352,3.1089082,2.702602,3.9005053
2015,3.8928354,2.8789806,3.501964,4.012482,2.1118062,3.1158228,2.6960647,3.8831425
2016,3.8953915,2.8781762,3.4886234,4.0095606,2.1114995,3.1153,2.6932156,3.8882422
2017,3.8943806,2.8795915,3.461354,4.0082264,2.1144452,3.1131277,2.6921725,3.895252
2018,3.870581,2.8781662,3.4255924,4.0025206,2.1671112,3.1021059,2.692408,3.8966324
2019,3.824539,2.878852,3.3767943,3.9911947,2.2779574,3.0799155,2.695262,3.8973033
