Year,Belarus,Czechia,Germany,Lithuania,Poland,Russia,Slovakia,Ukraine
1990,0.27143964,0.29269975,0.26181987,0.28088772,0.28482124,0.28009927,0.2887255,0.276157
1991,0.2711495,0.29261932,0.26178813,0.27996296,0.2850058,0.27980283,0.28833556,0.2753881
1992,0.27088022,0.29259008,0.2617403,0.27916038,0.28523713,0.27946213,0.2880517,0.27462083
1993,0.27064517,0.29260004,0.261681,0.2785139,0.28548315,0.27908698,0.2878708,0.27389178
1994,0.27045876,0.29263696,0.26161164,0.27805796,0.28571063,0.27870622,0.2877899,0.27323958
1995,0.27033705,0.29268944,0.26154324,0.27782843,0.2858863,0.27835354,0.28780612,0.27269906
1996,0.27023345,0.2928375,0.26144016,0.277814,0.28615814,0.27784434,0.2880282,0.2721024
1997,0.27011237,0.29311758,0.2612771,0.27793923,0.28662294,0.27710232,0.2884739,0.27135485
1998,0.2699983,0.2934547,0.2610822,0.27814296,0.2871698,0.27631456,0.289003,0.27060363
1999,0.2699176,0.29377267,0.26088598,0.27836394,0.28768805,0.27568105,0.28947645,0.26999685
2000,0.26989874,0.2939955,0.2607296,0.27854154,0.2880676,0.27540407,0.28975654,0.26967925
2001,0.2699878,0.29418162,0.2604061,0.27882904,0.28838763,0.2754816,0.28984782,0.26961565
2002,0.27018493,0.29441285,0.25980777,0.27933997,0.2887692,0.27572984,0.28988153,0.26964414
2003,0.2704434,0.2946503,0.2591246,0.27995372,0.28916383,0.27607042,0.28990924,0.26972553
2004,0.27071837,0.29485515,0.25854585,0.28054768,0.28952307,0.27643642,0.28998363,0.26982307
2005,0.27096403,0.29498923,0.25826865,0.2809983,0.2897989,0.27675995,0.29015675,0.26989645
2006,0.27131802,0.2950909,0.25824082,0.2813622,0.29007557,0.27717954,0.29061568,0.2699782
2007,0.27187908,0.2952128,0.25826615,0.2817654,0.29043695,0.27780312,0.2913802,0.27010795
2008,0.27253366,0.29534134,0.25832802,0.2821896,0.29083458,0.27850685,0.2922494,0.27026373
2009,0.27317077,0.2954636,0.2584109,0.2826187,0.2912203,0.27917835,0.2930242,0.27042964
2010,0.27368024,0.29556757,0.25850472,0.28303212,0.2915458,0.27970508,0.29350546,0.27058375
2011,0.2742778,0.29570618,0.2586014,0.2836198,0.291965,0.28022552,0.29375234,0.27081847
2012,0.27513677,0.29591092,0.2586948,0.28447652,0.2925741,0.2808793,0.293966,0.27117696
2013,0.27607197,0.29614052,0.2588036,0.28543663,0.29323727,0.28154734,0.2941598,0.27156687
2014,0.2768987,0.29635313,0.25894794,0.2863374,0.29381895,0.2821191,0.29434726,0.2718974
2015,0.2774349,0.2965073,0.2591541,0.2870162,0.29418284,0.28248546,0.29454166,0.2720728
2016,0.27772522,0.2968482,0.26047474,0.28790364,0.29407313,0.28234234,0.29527995,0.27206576
2017,0.27784362,0.2971475,0.2618145,0.28860536,0.2939007,0.28207,0.29598767,0.27200583
2018,0.27770308,0.29701176,0.2623118,0.2886631,0.29409933,0.28196478,0.29599878,0.2718183
2019,0.2773241,0.29657868,0.26269624,0.2884198,0.2945265,0.281813,0.29567876,0.27143335
