Entity,Year,Anxiety
Mongolia,2007,1.8799964
Mongolia,2006,1.8802372
Mongolia,2008,1.8802885
Mongolia,2009,1.8809876
Mongolia,2005,1.8814603
Mongolia,2010,1.881692
Mongolia,2011,1.8826869
Mongolia,2012,1.884744
Mongolia,2013,1.8879557
Mongolia,2014,1.8928206
Mongolia,2015,1.8995618
Mongolia,2004,1.9068055
Mongolia,2003,1.9648418
Vietnam,2007,2.0012987
Vietnam,2008,2.0014048
Vietnam,2006,2.002448
Vietnam,2009,2.0026345
Vietnam,2005,2.0049386
Vietnam,2010,2.0050404
Uzbekistan,2015,2.0145924
Mongolia,2016,2.0148997
Uzbekistan,2014,2.015029
Uzbekistan,2016,2.0155456
Uzbekistan,2013,2.015849
Uzbekistan,2012,2.0168402
Uzbekistan,2017,2.0170155
Uzbekistan,2011,2.017905
Uzbekistan,2010,2.0189142
Uzbekistan,2018,2.0199776
Uzbekistan,2009,2.0203667
Uzbekistan,1990,2.0220933
Uzbekistan,2008,2.022508
Uzbekistan,1991,2.0228417
Uzbekistan,1992,2.02365
Uzbekistan,1993,2.0244572
Uzbekistan,2007,2.024809
Uzbekistan,1994,2.0251331
Uzbekistan,2019,2.0256548
Uzbekistan,1995,2.0257432
Uzbekistan,2006,2.0268428
Uzbekistan,1996,2.0268865
Uzbekistan,2005,2.0281508
Uzbekistan,1997,2.0286222
Uzbekistan,2004,2.0291653
Uzbekistan,2003,2.0303407
Uzbekistan,1998,2.0304024
Uzbekistan,2002,2.0313735
Uzbekistan,1999,2.031725
Uzbekistan,2001,2.032109
Uzbekistan,2000,2.0323117
