Entity,Year,Depressive
Brunei,2010,1.5223331
Brunei,2011,1.5250505
Brunei,2009,1.5253173
Brunei,2012,1.5330414
Brunei,2008,1.5332453
Brunei,2013,1.542479
Brunei,2007,1.5433038
Brunei,2006,1.5507863
Brunei,2014,1.5512433
Brunei,2017,1.5516237
Brunei,2016,1.5529444
Brunei,1997,1.5536264
Brunei,1995,1.5539042
Brunei,1996,1.5541967
Brunei,2015,1.5546203
Brunei,1998,1.5554967
Brunei,1999,1.5560336
Brunei,2005,1.5560493
Brunei,2000,1.557036
Brunei,1994,1.557328
Brunei,2002,1.5574636
Brunei,2001,1.5574908
Brunei,2004,1.5575037
Brunei,2003,1.5584142
Brunei,1993,1.5646813
Brunei,2018,1.5671818
Brunei,1992,1.5740353
Brunei,1991,1.5859782
Brunei,1990,1.6005447
Brunei,2019,1.6031243
South Korea,1995,1.9132
South Korea,1996,1.9135857
South Korea,1994,1.9160974
South Korea,1997,1.9179922
South Korea,1993,1.9243889
South Korea,1998,1.9248674
South Korea,1999,1.9317307
South Korea,1992,1.9345614
South Korea,2000,1.9375029
South Korea,2001,1.9433454
Singapore,2015,1.9435817
South Korea,1991,1.9477364
Singapore,2014,1.9477776
South Korea,2002,1.9511049
Japan,1995,1.9534695
Singapore,2016,1.9546286
Singapore,2013,1.9567744
Japan,1994,1.9570603
South Korea,2003,1.9589672
South Korea,2004,1.9647453
