Entity,Year,Schizophrenia
Somalia,2019,0.18841599
Somalia,2018,0.18844457
Somalia,2015,0.18844575
Somalia,2016,0.1884501
Somalia,2017,0.18845762
Somalia,2014,0.1884628
Somalia,2013,0.1884944
Somalia,2012,0.18853909
Somalia,2011,0.18859686
Somalia,2010,0.18867041
Somalia,2009,0.18885954
Somalia,2008,0.18919052
Somalia,2007,0.18955949
Somalia,2000,0.18972783
Somalia,2001,0.18973069
Somalia,2002,0.18980312
Somalia,2006,0.18986504
Somalia,1999,0.1898959
Somalia,2003,0.18990181
Somalia,2004,0.18998294
Somalia,2005,0.19000426
Somalia,1998,0.19023815
Somalia,1997,0.19065043
Somalia,1996,0.19103168
Somalia,1995,0.19127809
Central African Republic,2019,0.1913885
Somalia,1994,0.19144133
Somalia,1993,0.19163556
Somalia,1992,0.19184203
Somalia,1991,0.1920428
Somalia,1990,0.19224207
Central African Republic,2018,0.19246891
Central African Republic,2015,0.1927969
Central African Republic,2016,0.19291723
Central African Republic,2014,0.19293754
Central African Republic,2017,0.1929919
Central African Republic,2013,0.19319828
Central African Republic,2012,0.19351105
Central African Republic,2011,0.19379808
Central African Republic,2010,0.19399287
Central African Republic,2009,0.19419418
Central African Republic,2008,0.19449215
Central African Republic,2007,0.19481403
Central African Republic,2006,0.19508512
Mozambique,1992,0.19522664
Central African Republic,2005,0.19523029
Mozambique,1991,0.19523147
Central African Republic,2002,0.19525783
Central African Republic,2001,0.19526039
Central African Republic,2004,0.19526385
