Entity,Year,Anxiety
Brazil,2006,8.624634
Brazil,2005,8.623396
Brazil,2007,8.599017
Brazil,2008,8.560106
Brazil,2004,8.531428
Brazil,2009,8.521455
Brazil,2010,8.496533
Brazil,2011,8.370385
Brazil,2003,8.325585
Brazil,2012,8.088891
Brazil,2002,8.052995
Portugal,2019,8.02761
Portugal,2018,8.012169
Portugal,2010,8.002524
Portugal,2009,7.9960637
Portugal,2017,7.9895625
Portugal,2011,7.9884386
Portugal,2008,7.9762425
Portugal,2012,7.959323
Portugal,2007,7.950923
Portugal,2016,7.933356
Portugal,2006,7.927827
Portugal,2013,7.925675
Portugal,2005,7.9147243
Portugal,2004,7.90544
Portugal,2014,7.8983483
Portugal,2003,7.8914094
Portugal,2015,7.8879485
Portugal,2002,7.87656
Portugal,1995,7.876446
Portugal,1996,7.875635
Portugal,1997,7.871669
Portugal,1994,7.869734
Portugal,1998,7.866373
Portugal,2001,7.864825
Portugal,1999,7.8619156
Portugal,2000,7.8600864
Portugal,1993,7.853483
Portugal,1992,7.8292356
Portugal,1991,7.798745
Portugal,1990,7.763925
Brazil,2001,7.7605925
Brazil,2013,7.756805
New Zealand,2003,7.518905
New Zealand,2004,7.5186515
New Zealand,2002,7.517635
New Zealand,2005,7.516275
New Zealand,2001,7.514958
New Zealand,2000,7.511177
New Zealand,1999,7.5084586
