Entity,Year,Bipolar
New Zealand,2014,1.5067295
New Zealand,2015,1.5067282
New Zealand,2013,1.5067157
New Zealand,2016,1.5066881
New Zealand,2012,1.5066789
New Zealand,2011,1.5066193
New Zealand,2017,1.5066189
New Zealand,2018,1.5065308
New Zealand,2010,1.5065185
New Zealand,2009,1.5064099
New Zealand,2019,1.5064018
New Zealand,2008,1.5063245
New Zealand,2007,1.5062933
New Zealand,2006,1.5062703
New Zealand,2005,1.5062661
New Zealand,2004,1.5041332
New Zealand,2003,1.4990636
New Zealand,2002,1.493006
New Zealand,2001,1.4878633
New Zealand,2000,1.4855347
New Zealand,1999,1.4851947
New Zealand,1998,1.4847972
New Zealand,1997,1.4844187
New Zealand,1996,1.4840815
New Zealand,1995,1.4838082
New Zealand,1994,1.483577
New Zealand,1993,1.4833819
New Zealand,1992,1.4832004
New Zealand,1991,1.4830294
New Zealand,1990,1.4828756
Australia,2006,1.1250802
Australia,2007,1.125079
Australia,2008,1.1250721
Australia,2005,1.1250675
Australia,2009,1.125063
Australia,2019,1.1250612
Australia,2010,1.1250472
Australia,2018,1.125041
Australia,2011,1.1250392
Australia,2017,1.1250321
Australia,2012,1.1250232
Australia,2016,1.12502
Australia,2013,1.1250172
Australia,2014,1.1250142
Australia,2015,1.1250105
Australia,2004,1.1241834
Australia,2003,1.1221255
Australia,2002,1.1196815
Australia,2001,1.1176239
Australia,2000,1.1167352
