Unnamed: 0,Year,Disorder,DALYs,Region,Source
0,1990,Depressive disorders,811.2617925581394,African Region,Average
1,1991,Depressive disorders,810.4649093023257,African Region,Average
2,1992,Depressive disorders,809.9725006976744,African Region,Average
3,1993,Depressive disorders,809.6249188372093,African Region,Average
4,1994,Depressive disorders,809.462326511628,African Region,Average
5,1995,Depressive disorders,809.3425172093024,African Region,Average
6,1996,Depressive disorders,810.0478960465117,African Region,Average
7,1997,Depressive disorders,811.5850941860466,African Region,Average
8,1998,Depressive disorders,813.259445116279,African Region,Average
9,1999,Depressive disorders,814.5358920930231,African Region,Average
10,2000,Depressive disorders,814.70801,African Region,Average
11,2001,Depressive disorders,814.1675434883721,African Region,Average
12,2002,Depressive disorders,813.4726902325582,African Region,Average
13,2003,Depressive disorders,812.6358730232557,African Region,Average
14,2004,Depressive disorders,811.5816193023256,African Region,Average
15,2005,Depressive disorders,810.2295320930234,African Region,Average
16,2006,Depressive disorders,807.9271262790696,African Region,Average
17,2007,Depressive disorders,804.3522193023257,African Region,Average
18,2008,Depressive disorders,800.4595409302326,African Region,Average
19,2009,Depressive disorders,796.8549834883719,African Region,Average
20,2010,Depressive disorders,794.4446118604652,African Region,Average
21,2011,Depressive disorders,792.9691751162792,African Region,Average
22,2012,Depressive disorders,791.7749176744186,African Region,Average
23,2013,Depressive disorders,790.9313741860465,African Region,Average
24,2014,Depressive disorders,790.3079734883722,African Region,Average
25,2015,Depressive disorders,790.2385058139536,African Region,Average
26,2016,Depressive disorders,790.532615116279,African Region,Average
27,2017,Depressive disorders,790.8831744186045,African Region,Average
28,2018,Depressive disorders,791.3134139534883,African Region,Average
29,2019,Depressive disorders,791.8936390697675,African Region,Average
30,1990,Schizophrenia,136.66805320930231,African Region,Average
31,1991,Schizophrenia,136.7145153488372,African Region,Average
32,1992,Schizophrenia,136.76257020930234,African Region,Average
33,1993,Schizophrenia,136.79270558139535,African Region,Average
34,1994,Schizophrenia,136.76948813953487,African Region,Average
35,1995,Schizophrenia,136.716684,African Region,Average
